Country,Capital,Continent
South Georgia,King Edward Point,Antarctica
Grenada,St. George's,North America
Switzerland,Bern,Europe
Sierra Leone,Freetown,Africa
Hungary,Budapest,Europe
Taiwan,Taipei,Asia
Wallis and Futuna,Mata-Utu,Oceania
Barbados,Bridgetown,North America
Pitcairn Islands,Adamstown,Oceania
Ivory Coast,Yamoussoukro,Africa
Tunisia,Tunis,Africa
Italy,Rome,Europe
Benin,Porto-Novo,Africa
Indonesia,Jakarta,Asia
Cape Verde,Praia,Africa
Saint Kitts and Nevis,Basseterre,North America
Laos,Vientiane,Asia
Caribbean Netherlands,Kralendijk,North America
Uganda,Kampala,Africa
Andorra,Andorra la Vella,Europe
Burundi,Gitega,Africa
South Africa,Pretoria,Africa
France,Paris,Europe
Libya,Tripoli,Africa
Mexico,Mexico City,North America
Gabon,Libreville,Africa
Northern Mariana Islands,Saipan,Oceania
North Macedonia,Skopje,Europe
China,Beijing,Asia
Yemen,Sana'a,Asia
Saint Barthélemy,Gustavia,North America
Guernsey,St. Peter Port,Europe
Solomon Islands,Honiara,Oceania
Svalbard and Jan Mayen,Longyearbyen,Europe
Faroe Islands,Tórshavn,Europe
Uzbekistan,Tashkent,Asia
Egypt,Cairo,Africa
Senegal,Dakar,Africa
Sri Lanka,Sri Jayawardenepura Kotte,Asia
Palestine,Ramallah,Asia
Bangladesh,Dhaka,Asia
Peru,Lima,South America
Singapore,Singapore,Asia
Turkey,Ankara,Europe
Afghanistan,Kabul,Asia
Aruba,Oranjestad,North America
Cook Islands,Avarua,Oceania
United Kingdom,London,Europe
Zambia,Lusaka,Africa
Finland,Helsinki,Europe
Niger,Niamey,Africa
Christmas Island,Flying Fish Cove,Asia
Tokelau,Fakaofo,Oceania
Guinea-Bissau,Bissau,Africa
Azerbaijan,Baku,Europe
Réunion,Saint-Denis,Africa
Djibouti,Djibouti,Africa
North Korea,Pyongyang,Asia
Mauritius,Port Louis,Africa
Montserrat,Plymouth,North America
United States Virgin Islands,Charlotte Amalie,North America
Colombia,Bogotá,South America
Greece,Athens,Europe
Croatia,Zagreb,Europe
Morocco,Rabat,Africa
Algeria,Algiers,Africa
Antarctica,None,Antarctica
Netherlands,Amsterdam,Europe
Sudan,Khartoum,Africa
Fiji,Suva,Oceania
Liechtenstein,Vaduz,Europe
Nepal,Kathmandu,Asia
Puerto Rico,San Juan,North America
Georgia,Tbilisi,Asia
Pakistan,Islamabad,Asia
